FromBIC,ToBIC,TimeTakenInMinutes
CICIFRPPXXX,BNPAFRPPXXX,111
BNPAFRPPXXX,CICIFRPPXXX,111
CCBPFRPPXXX,BNPAFRPPXXX,57
BNPAFRPPXXX,CCBPFRPPXXX,57
CRLYFRPPXXX,BNPAFRPPXXX,104
BNPAFRPPXXX,CRLYFRPPXXX,104
AGRIFRPPXXX,BNPAFRPPXXX,106
BNPAFRPPXXX,AGRIFRPPXXX,106
BBVAFRPPXXX,BNPAFRPPXXX,120
BNPAFRPPXXX,BBVAFRPPXXX,120
CMADFRPPXXX,BNPAFRPPXXX,33
BNPAFRPPXXX,CMADFRPPXXX,33
CALDFR21XXX,BNPAFRPPXXX,50
BNPAFRPPXXX,CALDFR21XXX,50
SOGEFRPPXXX,BNPAFRPPXXX,102
BNPAFRPPXXX,SOGEFRPPXXX,102
CITIFRPPXXX,BNPAFRPPXXX,43
BNPAFRPPXXX,CITIFRPPXXX,43
KNABNL2HXXX,BNPAFRPPXXX,160
BNPAFRPPXXX,KNABNL2HXXX,160
MHCBJPJTXXX,BNPAFRPPXXX,146
BNPAFRPPXXX,MHCBJPJTXXX,146
ABNANL2AXXX,BNPAFRPPXXX,173
BNPAFRPPXXX,ABNANL2AXXX,173
DEUTDEBBXXX,BNPAFRPPXXX,126
BNPAFRPPXXX,DEUTDEBBXXX,126
MMTOJPJTXXX,BNPAFRPPXXX,152
BNPAFRPPXXX,MMTOJPJTXXX,152
NATAAU3302S,BNPAFRPPXXX,232
BNPAFRPPXXX,NATAAU3302S,232
BLKBCH22XXX,BNPAFRPPXXX,225
BNPAFRPPXXX,BLKBCH22XXX,225
CRESCHZZXXX,BNPAFRPPXXX,175
BNPAFRPPXXX,CRESCHZZXXX,175
HSBCGB2LXXX,BNPAFRPPXXX,189
BNPAFRPPXXX,HSBCGB2LXXX,189
SBININBBFXD,BNPAFRPPXXX,85
BNPAFRPPXXX,SBININBBFXD,85
ANZBAU3MXXX,BNPAFRPPXXX,169
BNPAFRPPXXX,ANZBAU3MXXX,169
BOTKJPJTXXX,BNPAFRPPXXX,62
BNPAFRPPXXX,BOTKJPJTXXX,62
BARCGB22XXX,BNPAFRPPXXX,103
BNPAFRPPXXX,BARCGB22XXX,103
SMBCJPJTXXX,BNPAFRPPXXX,84
BNPAFRPPXXX,SMBCJPJTXXX,84
CUSCAU2SXXX,BNPAFRPPXXX,205
BNPAFRPPXXX,CUSCAU2SXXX,205
ICICINBBCTS,BNPAFRPPXXX,88
BNPAFRPPXXX,ICICINBBCTS,88
WFBIUS6SXXX,BNPAFRPPXXX,132
BNPAFRPPXXX,WFBIUS6SXXX,132
ABOCCNBJXXX,BNPAFRPPXXX,83
BNPAFRPPXXX,ABOCCNBJXXX,83
BKCHCNBJXXX,BNPAFRPPXXX,79
BNPAFRPPXXX,BKCHCNBJXXX,79
HYVEDEMMXXX,BNPAFRPPXXX,240
BNPAFRPPXXX,HYVEDEMMXXX,240
HELADEF1RRS,BNPAFRPPXXX,99
BNPAFRPPXXX,HELADEF1RRS,99
BOFAUS3NXXX,BNPAFRPPXXX,152
BNPAFRPPXXX,BOFAUS3NXXX,152
BAFUCH22XXX,BNPAFRPPXXX,211
BNPAFRPPXXX,BAFUCH22XXX,211
UTIBINBBXXX,BNPAFRPPXXX,170
BNPAFRPPXXX,UTIBINBBXXX,170
CITIUS33XXX,BNPAFRPPXXX,113
BNPAFRPPXXX,CITIUS33XXX,113
CHASUS33XXX,BNPAFRPPXXX,175
BNPAFRPPXXX,CHASUS33XXX,175
HDFCINBBXXX,BNPAFRPPXXX,154
BNPAFRPPXXX,HDFCINBBXXX,154
UBSWCHZH80A,BNPAFRPPXXX,149
BNPAFRPPXXX,UBSWCHZH80A,149
CCBCCNBJXXX,BNPAFRPPXXX,236
BNPAFRPPXXX,CCBCCNBJXXX,236
RABONL2UXXX,BNPAFRPPXXX,112
BNPAFRPPXXX,RABONL2UXXX,112
RBOSGB2LXXX,BNPAFRPPXXX,199
BNPAFRPPXXX,RBOSGB2LXXX,199
MIDLGB22XXX,BNPAFRPPXXX,155
BNPAFRPPXXX,MIDLGB22XXX,155
COBADEFFXXX,BNPAFRPPXXX,199
BNPAFRPPXXX,COBADEFFXXX,199
WPACAU2SXXX,BNPAFRPPXXX,132
BNPAFRPPXXX,WPACAU2SXXX,132
INGBNL2AXXX,BNPAFRPPXXX,221
BNPAFRPPXXX,INGBNL2AXXX,221
PCBCCNBJXXX,BNPAFRPPXXX,111
BNPAFRPPXXX,PCBCCNBJXXX,111
FVLBNL22XXX,KNABNL2HXXX,52
KNABNL2HXXX,FVLBNL22XXX,52
ABNANL2AXXX,KNABNL2HXXX,107
KNABNL2HXXX,ABNANL2AXXX,107
SNSBNL2AXXX,KNABNL2HXXX,121
KNABNL2HXXX,SNSBNL2AXXX,121
TRIONL2UXXX,KNABNL2HXXX,18
KNABNL2HXXX,TRIONL2UXXX,18
NWABNL2GXXX,KNABNL2HXXX,124
KNABNL2HXXX,NWABNL2GXXX,124
RABONL2UXXX,KNABNL2HXXX,73
KNABNL2HXXX,RABONL2UXXX,73
RBRBNL21XXX,KNABNL2HXXX,20
KNABNL2HXXX,RBRBNL21XXX,20
ASNBNL21XXX,KNABNL2HXXX,33
KNABNL2HXXX,ASNBNL21XXX,33
INGBNL2AXXX,KNABNL2HXXX,90
KNABNL2HXXX,INGBNL2AXXX,90
BNPAFRPPXXX,KNABNL2HXXX,221
KNABNL2HXXX,BNPAFRPPXXX,221
MHCBJPJTXXX,KNABNL2HXXX,123
KNABNL2HXXX,MHCBJPJTXXX,123
DEUTDEBBXXX,KNABNL2HXXX,71
KNABNL2HXXX,DEUTDEBBXXX,71
MMTOJPJTXXX,KNABNL2HXXX,63
KNABNL2HXXX,MMTOJPJTXXX,63
NATAAU3302S,KNABNL2HXXX,142
KNABNL2HXXX,NATAAU3302S,142
BLKBCH22XXX,KNABNL2HXXX,71
KNABNL2HXXX,BLKBCH22XXX,71
CRESCHZZXXX,KNABNL2HXXX,103
KNABNL2HXXX,CRESCHZZXXX,103
CRLYFRPPXXX,KNABNL2HXXX,235
KNABNL2HXXX,CRLYFRPPXXX,235
AGRIFRPPXXX,KNABNL2HXXX,223
KNABNL2HXXX,AGRIFRPPXXX,223
HSBCGB2LXXX,KNABNL2HXXX,214
KNABNL2HXXX,HSBCGB2LXXX,214
SBININBBFXD,KNABNL2HXXX,108
KNABNL2HXXX,SBININBBFXD,108
ANZBAU3MXXX,KNABNL2HXXX,157
KNABNL2HXXX,ANZBAU3MXXX,157
BOTKJPJTXXX,KNABNL2HXXX,127
KNABNL2HXXX,BOTKJPJTXXX,127
BARCGB22XXX,KNABNL2HXXX,197
KNABNL2HXXX,BARCGB22XXX,197
SMBCJPJTXXX,KNABNL2HXXX,152
KNABNL2HXXX,SMBCJPJTXXX,152
CUSCAU2SXXX,KNABNL2HXXX,180
KNABNL2HXXX,CUSCAU2SXXX,180
ICICINBBCTS,KNABNL2HXXX,156
KNABNL2HXXX,ICICINBBCTS,156
WFBIUS6SXXX,KNABNL2HXXX,67
KNABNL2HXXX,WFBIUS6SXXX,67
ABOCCNBJXXX,KNABNL2HXXX,139
KNABNL2HXXX,ABOCCNBJXXX,139
BKCHCNBJXXX,KNABNL2HXXX,228
KNABNL2HXXX,BKCHCNBJXXX,228
HYVEDEMMXXX,KNABNL2HXXX,228
KNABNL2HXXX,HYVEDEMMXXX,228
HELADEF1RRS,KNABNL2HXXX,190
KNABNL2HXXX,HELADEF1RRS,190
BOFAUS3NXXX,KNABNL2HXXX,111
KNABNL2HXXX,BOFAUS3NXXX,111
BAFUCH22XXX,KNABNL2HXXX,193
KNABNL2HXXX,BAFUCH22XXX,193
UTIBINBBXXX,KNABNL2HXXX,175
KNABNL2HXXX,UTIBINBBXXX,175
CITIUS33XXX,KNABNL2HXXX,124
KNABNL2HXXX,CITIUS33XXX,124
CHASUS33XXX,KNABNL2HXXX,184
KNABNL2HXXX,CHASUS33XXX,184
HDFCINBBXXX,KNABNL2HXXX,90
KNABNL2HXXX,HDFCINBBXXX,90
UBSWCHZH80A,KNABNL2HXXX,139
KNABNL2HXXX,UBSWCHZH80A,139
CCBCCNBJXXX,KNABNL2HXXX,219
KNABNL2HXXX,CCBCCNBJXXX,219
RBOSGB2LXXX,KNABNL2HXXX,210
KNABNL2HXXX,RBOSGB2LXXX,210
SOGEFRPPXXX,KNABNL2HXXX,119
KNABNL2HXXX,SOGEFRPPXXX,119
MIDLGB22XXX,KNABNL2HXXX,101
KNABNL2HXXX,MIDLGB22XXX,101
COBADEFFXXX,KNABNL2HXXX,221
KNABNL2HXXX,COBADEFFXXX,221
WPACAU2SXXX,KNABNL2HXXX,123
KNABNL2HXXX,WPACAU2SXXX,123
PCBCCNBJXXX,KNABNL2HXXX,184
KNABNL2HXXX,PCBCCNBJXXX,184
MMTOJPJTXXX,MHCBJPJTXXX,125
MHCBJPJTXXX,MMTOJPJTXXX,125
CHASJPJTXXX,MHCBJPJTXXX,81
MHCBJPJTXXX,CHASJPJTXXX,81
ZENJJPJTXXX,MHCBJPJTXXX,89
MHCBJPJTXXX,ZENJJPJTXXX,89
BOTKJPJTXXX,MHCBJPJTXXX,113
MHCBJPJTXXX,BOTKJPJTXXX,113
ICBKJPJTXXX,MHCBJPJTXXX,63
MHCBJPJTXXX,ICBKJPJTXXX,63
SMBCJPJTXXX,MHCBJPJTXXX,121
MHCBJPJTXXX,SMBCJPJTXXX,121
NACNJPJTXXX,MHCBJPJTXXX,58
MHCBJPJTXXX,NACNJPJTXXX,58
MSKBJPJTXXX,MHCBJPJTXXX,108
MHCBJPJTXXX,MSKBJPJTXXX,108
SNNFJPJTXXX,MHCBJPJTXXX,92
MHCBJPJTXXX,SNNFJPJTXXX,92
BNPAFRPPXXX,MHCBJPJTXXX,224
MHCBJPJTXXX,BNPAFRPPXXX,224
KNABNL2HXXX,MHCBJPJTXXX,147
MHCBJPJTXXX,KNABNL2HXXX,147
ABNANL2AXXX,MHCBJPJTXXX,99
MHCBJPJTXXX,ABNANL2AXXX,99
DEUTDEBBXXX,MHCBJPJTXXX,231
MHCBJPJTXXX,DEUTDEBBXXX,231
NATAAU3302S,MHCBJPJTXXX,226
MHCBJPJTXXX,NATAAU3302S,226
BLKBCH22XXX,MHCBJPJTXXX,86
MHCBJPJTXXX,BLKBCH22XXX,86
CRESCHZZXXX,MHCBJPJTXXX,219
MHCBJPJTXXX,CRESCHZZXXX,219
CRLYFRPPXXX,MHCBJPJTXXX,176
MHCBJPJTXXX,CRLYFRPPXXX,176
AGRIFRPPXXX,MHCBJPJTXXX,138
MHCBJPJTXXX,AGRIFRPPXXX,138
HSBCGB2LXXX,MHCBJPJTXXX,172
MHCBJPJTXXX,HSBCGB2LXXX,172
SBININBBFXD,MHCBJPJTXXX,110
MHCBJPJTXXX,SBININBBFXD,110
ANZBAU3MXXX,MHCBJPJTXXX,202
MHCBJPJTXXX,ANZBAU3MXXX,202
BARCGB22XXX,MHCBJPJTXXX,115
MHCBJPJTXXX,BARCGB22XXX,115
CUSCAU2SXXX,MHCBJPJTXXX,140
MHCBJPJTXXX,CUSCAU2SXXX,140
ICICINBBCTS,MHCBJPJTXXX,100
MHCBJPJTXXX,ICICINBBCTS,100
WFBIUS6SXXX,MHCBJPJTXXX,93
MHCBJPJTXXX,WFBIUS6SXXX,93
ABOCCNBJXXX,MHCBJPJTXXX,109
MHCBJPJTXXX,ABOCCNBJXXX,109
BKCHCNBJXXX,MHCBJPJTXXX,160
MHCBJPJTXXX,BKCHCNBJXXX,160
HYVEDEMMXXX,MHCBJPJTXXX,135
MHCBJPJTXXX,HYVEDEMMXXX,135
HELADEF1RRS,MHCBJPJTXXX,90
MHCBJPJTXXX,HELADEF1RRS,90
BOFAUS3NXXX,MHCBJPJTXXX,224
MHCBJPJTXXX,BOFAUS3NXXX,224
BAFUCH22XXX,MHCBJPJTXXX,78
MHCBJPJTXXX,BAFUCH22XXX,78
UTIBINBBXXX,MHCBJPJTXXX,82
MHCBJPJTXXX,UTIBINBBXXX,82
CITIUS33XXX,MHCBJPJTXXX,149
MHCBJPJTXXX,CITIUS33XXX,149
CHASUS33XXX,MHCBJPJTXXX,197
MHCBJPJTXXX,CHASUS33XXX,197
HDFCINBBXXX,MHCBJPJTXXX,238
MHCBJPJTXXX,HDFCINBBXXX,238
UBSWCHZH80A,MHCBJPJTXXX,229
MHCBJPJTXXX,UBSWCHZH80A,229
CCBCCNBJXXX,MHCBJPJTXXX,183
MHCBJPJTXXX,CCBCCNBJXXX,183
RABONL2UXXX,MHCBJPJTXXX,129
MHCBJPJTXXX,RABONL2UXXX,129
RBOSGB2LXXX,MHCBJPJTXXX,195
MHCBJPJTXXX,RBOSGB2LXXX,195
SOGEFRPPXXX,MHCBJPJTXXX,126
MHCBJPJTXXX,SOGEFRPPXXX,126
MIDLGB22XXX,MHCBJPJTXXX,113
MHCBJPJTXXX,MIDLGB22XXX,113
COBADEFFXXX,MHCBJPJTXXX,102
MHCBJPJTXXX,COBADEFFXXX,102
WPACAU2SXXX,MHCBJPJTXXX,165
MHCBJPJTXXX,WPACAU2SXXX,165
INGBNL2AXXX,MHCBJPJTXXX,104
MHCBJPJTXXX,INGBNL2AXXX,104
PCBCCNBJXXX,MHCBJPJTXXX,87
MHCBJPJTXXX,PCBCCNBJXXX,87
FVLBNL22XXX,ABNANL2AXXX,98
ABNANL2AXXX,FVLBNL22XXX,98
KNABNL2HXXX,ABNANL2AXXX,25
ABNANL2AXXX,KNABNL2HXXX,25
SNSBNL2AXXX,ABNANL2AXXX,106
ABNANL2AXXX,SNSBNL2AXXX,106
TRIONL2UXXX,ABNANL2AXXX,29
ABNANL2AXXX,TRIONL2UXXX,29
NWABNL2GXXX,ABNANL2AXXX,100
ABNANL2AXXX,NWABNL2GXXX,100
RABONL2UXXX,ABNANL2AXXX,19
ABNANL2AXXX,RABONL2UXXX,19
RBRBNL21XXX,ABNANL2AXXX,124
ABNANL2AXXX,RBRBNL21XXX,124
ASNBNL21XXX,ABNANL2AXXX,16
ABNANL2AXXX,ASNBNL21XXX,16
INGBNL2AXXX,ABNANL2AXXX,73
ABNANL2AXXX,INGBNL2AXXX,73
BNPAFRPPXXX,ABNANL2AXXX,91
ABNANL2AXXX,BNPAFRPPXXX,91
MHCBJPJTXXX,ABNANL2AXXX,103
ABNANL2AXXX,MHCBJPJTXXX,103
DEUTDEBBXXX,ABNANL2AXXX,204
ABNANL2AXXX,DEUTDEBBXXX,204
MMTOJPJTXXX,ABNANL2AXXX,192
ABNANL2AXXX,MMTOJPJTXXX,192
NATAAU3302S,ABNANL2AXXX,178
ABNANL2AXXX,NATAAU3302S,178
BLKBCH22XXX,ABNANL2AXXX,235
ABNANL2AXXX,BLKBCH22XXX,235
CRESCHZZXXX,ABNANL2AXXX,175
ABNANL2AXXX,CRESCHZZXXX,175
CRLYFRPPXXX,ABNANL2AXXX,197
ABNANL2AXXX,CRLYFRPPXXX,197
AGRIFRPPXXX,ABNANL2AXXX,76
ABNANL2AXXX,AGRIFRPPXXX,76
HSBCGB2LXXX,ABNANL2AXXX,84
ABNANL2AXXX,HSBCGB2LXXX,84
SBININBBFXD,ABNANL2AXXX,154
ABNANL2AXXX,SBININBBFXD,154
ANZBAU3MXXX,ABNANL2AXXX,74
ABNANL2AXXX,ANZBAU3MXXX,74
BOTKJPJTXXX,ABNANL2AXXX,72
ABNANL2AXXX,BOTKJPJTXXX,72
BARCGB22XXX,ABNANL2AXXX,97
ABNANL2AXXX,BARCGB22XXX,97
SMBCJPJTXXX,ABNANL2AXXX,143
ABNANL2AXXX,SMBCJPJTXXX,143
CUSCAU2SXXX,ABNANL2AXXX,208
ABNANL2AXXX,CUSCAU2SXXX,208
ICICINBBCTS,ABNANL2AXXX,163
ABNANL2AXXX,ICICINBBCTS,163
WFBIUS6SXXX,ABNANL2AXXX,196
ABNANL2AXXX,WFBIUS6SXXX,196
ABOCCNBJXXX,ABNANL2AXXX,69
ABNANL2AXXX,ABOCCNBJXXX,69
BKCHCNBJXXX,ABNANL2AXXX,88
ABNANL2AXXX,BKCHCNBJXXX,88
HYVEDEMMXXX,ABNANL2AXXX,240
ABNANL2AXXX,HYVEDEMMXXX,240
HELADEF1RRS,ABNANL2AXXX,96
ABNANL2AXXX,HELADEF1RRS,96
BOFAUS3NXXX,ABNANL2AXXX,221
ABNANL2AXXX,BOFAUS3NXXX,221
BAFUCH22XXX,ABNANL2AXXX,82
ABNANL2AXXX,BAFUCH22XXX,82
UTIBINBBXXX,ABNANL2AXXX,240
ABNANL2AXXX,UTIBINBBXXX,240
CITIUS33XXX,ABNANL2AXXX,69
ABNANL2AXXX,CITIUS33XXX,69
CHASUS33XXX,ABNANL2AXXX,217
ABNANL2AXXX,CHASUS33XXX,217
HDFCINBBXXX,ABNANL2AXXX,73
ABNANL2AXXX,HDFCINBBXXX,73
UBSWCHZH80A,ABNANL2AXXX,60
ABNANL2AXXX,UBSWCHZH80A,60
CCBCCNBJXXX,ABNANL2AXXX,227
ABNANL2AXXX,CCBCCNBJXXX,227
RBOSGB2LXXX,ABNANL2AXXX,167
ABNANL2AXXX,RBOSGB2LXXX,167
SOGEFRPPXXX,ABNANL2AXXX,92
ABNANL2AXXX,SOGEFRPPXXX,92
MIDLGB22XXX,ABNANL2AXXX,89
ABNANL2AXXX,MIDLGB22XXX,89
COBADEFFXXX,ABNANL2AXXX,130
ABNANL2AXXX,COBADEFFXXX,130
WPACAU2SXXX,ABNANL2AXXX,225
ABNANL2AXXX,WPACAU2SXXX,225
PCBCCNBJXXX,ABNANL2AXXX,208
ABNANL2AXXX,PCBCCNBJXXX,208
RVSADE77XXX,DEUTDEBBXXX,53
DEUTDEBBXXX,RVSADE77XXX,53
MARBDE6LXXX,DEUTDEBBXXX,76
DEUTDEBBXXX,MARBDE6LXXX,76
HYVEDEMMXXX,DEUTDEBBXXX,80
DEUTDEBBXXX,HYVEDEMMXXX,80
HELADEF1RRS,DEUTDEBBXXX,64
DEUTDEBBXXX,HELADEF1RRS,64
DRESDEFFXXX,DEUTDEBBXXX,93
DEUTDEBBXXX,DRESDEFFXXX,93
GENODEFFXXX,DEUTDEBBXXX,22
DEUTDEBBXXX,GENODEFFXXX,22
MALADE51XXX,DEUTDEBBXXX,74
DEUTDEBBXXX,MALADE51XXX,74
COBADEFFXXX,DEUTDEBBXXX,101
DEUTDEBBXXX,COBADEFFXXX,101
INGBDEFFXXX,DEUTDEBBXXX,46
DEUTDEBBXXX,INGBDEFFXXX,46
BNPAFRPPXXX,DEUTDEBBXXX,239
DEUTDEBBXXX,BNPAFRPPXXX,239
KNABNL2HXXX,DEUTDEBBXXX,164
DEUTDEBBXXX,KNABNL2HXXX,164
MHCBJPJTXXX,DEUTDEBBXXX,218
DEUTDEBBXXX,MHCBJPJTXXX,218
ABNANL2AXXX,DEUTDEBBXXX,195
DEUTDEBBXXX,ABNANL2AXXX,195
MMTOJPJTXXX,DEUTDEBBXXX,173
DEUTDEBBXXX,MMTOJPJTXXX,173
NATAAU3302S,DEUTDEBBXXX,66
DEUTDEBBXXX,NATAAU3302S,66
BLKBCH22XXX,DEUTDEBBXXX,195
DEUTDEBBXXX,BLKBCH22XXX,195
CRESCHZZXXX,DEUTDEBBXXX,210
DEUTDEBBXXX,CRESCHZZXXX,210
CRLYFRPPXXX,DEUTDEBBXXX,227
DEUTDEBBXXX,CRLYFRPPXXX,227
AGRIFRPPXXX,DEUTDEBBXXX,218
DEUTDEBBXXX,AGRIFRPPXXX,218
HSBCGB2LXXX,DEUTDEBBXXX,210
DEUTDEBBXXX,HSBCGB2LXXX,210
SBININBBFXD,DEUTDEBBXXX,237
DEUTDEBBXXX,SBININBBFXD,237
ANZBAU3MXXX,DEUTDEBBXXX,194
DEUTDEBBXXX,ANZBAU3MXXX,194
BOTKJPJTXXX,DEUTDEBBXXX,223
DEUTDEBBXXX,BOTKJPJTXXX,223
BARCGB22XXX,DEUTDEBBXXX,238
DEUTDEBBXXX,BARCGB22XXX,238
SMBCJPJTXXX,DEUTDEBBXXX,180
DEUTDEBBXXX,SMBCJPJTXXX,180
CUSCAU2SXXX,DEUTDEBBXXX,150
DEUTDEBBXXX,CUSCAU2SXXX,150
ICICINBBCTS,DEUTDEBBXXX,89
DEUTDEBBXXX,ICICINBBCTS,89
WFBIUS6SXXX,DEUTDEBBXXX,210
DEUTDEBBXXX,WFBIUS6SXXX,210
ABOCCNBJXXX,DEUTDEBBXXX,220
DEUTDEBBXXX,ABOCCNBJXXX,220
BKCHCNBJXXX,DEUTDEBBXXX,73
DEUTDEBBXXX,BKCHCNBJXXX,73
BOFAUS3NXXX,DEUTDEBBXXX,177
DEUTDEBBXXX,BOFAUS3NXXX,177
BAFUCH22XXX,DEUTDEBBXXX,104
DEUTDEBBXXX,BAFUCH22XXX,104
UTIBINBBXXX,DEUTDEBBXXX,173
DEUTDEBBXXX,UTIBINBBXXX,173
CITIUS33XXX,DEUTDEBBXXX,101
DEUTDEBBXXX,CITIUS33XXX,101
CHASUS33XXX,DEUTDEBBXXX,186
DEUTDEBBXXX,CHASUS33XXX,186
HDFCINBBXXX,DEUTDEBBXXX,117
DEUTDEBBXXX,HDFCINBBXXX,117
UBSWCHZH80A,DEUTDEBBXXX,119
DEUTDEBBXXX,UBSWCHZH80A,119
CCBCCNBJXXX,DEUTDEBBXXX,101
DEUTDEBBXXX,CCBCCNBJXXX,101
RABONL2UXXX,DEUTDEBBXXX,73
DEUTDEBBXXX,RABONL2UXXX,73
RBOSGB2LXXX,DEUTDEBBXXX,174
DEUTDEBBXXX,RBOSGB2LXXX,174
SOGEFRPPXXX,DEUTDEBBXXX,100
DEUTDEBBXXX,SOGEFRPPXXX,100
MIDLGB22XXX,DEUTDEBBXXX,177
DEUTDEBBXXX,MIDLGB22XXX,177
WPACAU2SXXX,DEUTDEBBXXX,152
DEUTDEBBXXX,WPACAU2SXXX,152
INGBNL2AXXX,DEUTDEBBXXX,235
DEUTDEBBXXX,INGBNL2AXXX,235
PCBCCNBJXXX,DEUTDEBBXXX,110
DEUTDEBBXXX,PCBCCNBJXXX,110
MHCBJPJTXXX,MMTOJPJTXXX,76
MMTOJPJTXXX,MHCBJPJTXXX,76
CHASJPJTXXX,MMTOJPJTXXX,97
MMTOJPJTXXX,CHASJPJTXXX,97
ZENJJPJTXXX,MMTOJPJTXXX,23
MMTOJPJTXXX,ZENJJPJTXXX,23
BOTKJPJTXXX,MMTOJPJTXXX,67
MMTOJPJTXXX,BOTKJPJTXXX,67
ICBKJPJTXXX,MMTOJPJTXXX,81
MMTOJPJTXXX,ICBKJPJTXXX,81
SMBCJPJTXXX,MMTOJPJTXXX,124
MMTOJPJTXXX,SMBCJPJTXXX,124
NACNJPJTXXX,MMTOJPJTXXX,64
MMTOJPJTXXX,NACNJPJTXXX,64
MSKBJPJTXXX,MMTOJPJTXXX,50
MMTOJPJTXXX,MSKBJPJTXXX,50
SNNFJPJTXXX,MMTOJPJTXXX,112
MMTOJPJTXXX,SNNFJPJTXXX,112
BNPAFRPPXXX,MMTOJPJTXXX,138
MMTOJPJTXXX,BNPAFRPPXXX,138
KNABNL2HXXX,MMTOJPJTXXX,60
MMTOJPJTXXX,KNABNL2HXXX,60
ABNANL2AXXX,MMTOJPJTXXX,122
MMTOJPJTXXX,ABNANL2AXXX,122
DEUTDEBBXXX,MMTOJPJTXXX,168
MMTOJPJTXXX,DEUTDEBBXXX,168
NATAAU3302S,MMTOJPJTXXX,210
MMTOJPJTXXX,NATAAU3302S,210
BLKBCH22XXX,MMTOJPJTXXX,102
MMTOJPJTXXX,BLKBCH22XXX,102
CRESCHZZXXX,MMTOJPJTXXX,182
MMTOJPJTXXX,CRESCHZZXXX,182
CRLYFRPPXXX,MMTOJPJTXXX,147
MMTOJPJTXXX,CRLYFRPPXXX,147
AGRIFRPPXXX,MMTOJPJTXXX,147
MMTOJPJTXXX,AGRIFRPPXXX,147
HSBCGB2LXXX,MMTOJPJTXXX,115
MMTOJPJTXXX,HSBCGB2LXXX,115
SBININBBFXD,MMTOJPJTXXX,188
MMTOJPJTXXX,SBININBBFXD,188
ANZBAU3MXXX,MMTOJPJTXXX,93
MMTOJPJTXXX,ANZBAU3MXXX,93
BARCGB22XXX,MMTOJPJTXXX,172
MMTOJPJTXXX,BARCGB22XXX,172
CUSCAU2SXXX,MMTOJPJTXXX,67
MMTOJPJTXXX,CUSCAU2SXXX,67
ICICINBBCTS,MMTOJPJTXXX,134
MMTOJPJTXXX,ICICINBBCTS,134
WFBIUS6SXXX,MMTOJPJTXXX,185
MMTOJPJTXXX,WFBIUS6SXXX,185
ABOCCNBJXXX,MMTOJPJTXXX,181
MMTOJPJTXXX,ABOCCNBJXXX,181
BKCHCNBJXXX,MMTOJPJTXXX,175
MMTOJPJTXXX,BKCHCNBJXXX,175
HYVEDEMMXXX,MMTOJPJTXXX,122
MMTOJPJTXXX,HYVEDEMMXXX,122
HELADEF1RRS,MMTOJPJTXXX,93
MMTOJPJTXXX,HELADEF1RRS,93
BOFAUS3NXXX,MMTOJPJTXXX,170
